Mod:Item:MetaData, Localized Name
ReactorCraft:reactorcraft_block_fluoriteore:7, Yellow Fluorite
ReactorCraft:reactorcraft_block_steam, tile.Steam.name
ReactorCraft:reactorcraft_block_duct, tile.Duct.name
ReactorCraft:reactorcraft_block_line, tile.Line.name
ReactorCraft:reactorcraft_block_injectormulti:0, Plasma Injector Base
ReactorCraft:reactorcraft_block_injectormulti:1, Plasma Injector Lower Corner
ReactorCraft:reactorcraft_block_injectormulti:2, Plasma Injector Side Panel
ReactorCraft:reactorcraft_block_injectormulti:3, Plasma Injector Top
ReactorCraft:reactorcraft_block_injectormulti:4, Plasma Injector Upper Corner
ReactorCraft:reactorcraft_block_injectormulti:5, Plasma Injector Induction Coil
ReactorCraft:reactorcraft_block_injectormulti:6, Plasma Injector Column Piece
ReactorCraft:reactorcraft_block_injectormulti:7, Plasma Injector Hysteresis Core
ReactorCraft:reactorcraft_block_heatermulti:0, Laser Concentration Lens
ReactorCraft:reactorcraft_block_heatermulti:1, Thermal Insulation Core
ReactorCraft:reactorcraft_block_heatermulti:2, Preheater Unit Housing Corner
ReactorCraft:reactorcraft_block_heatermulti:3, Preheater Unit Housing Edge
ReactorCraft:reactorcraft_block_heatermulti:4, Preheater Unit Housing Face
ReactorCraft:reactorcraft_block_solenoidmulti:0, Ferromagnetic Base
ReactorCraft:reactorcraft_block_solenoidmulti:1, Magnetic Linkage
ReactorCraft:reactorcraft_block_solenoidmulti:2, Central Permanent Magnet
ReactorCraft:reactorcraft_block_solenoidmulti:3, Auxiliary Permanent Magnet
ReactorCraft:reactorcraft_block_solenoidmulti:4, Hysteresis Rod
ReactorCraft:reactorcraft_block_solenoidmulti:5, Solenoid Hub
ReactorCraft:reactorcraft_block_generatormulti:0, Generator Rotor Core
ReactorCraft:reactorcraft_block_generatormulti:1, Generator Rotor Winding
ReactorCraft:reactorcraft_block_generatormulti:2, Generator Housing
ReactorCraft:reactorcraft_block_generatormulti:3, Steam Bypass
ReactorCraft:reactorcraft_block_turbinemulti:0, Turbine Blades
ReactorCraft:reactorcraft_block_turbinemulti:1, Turbine Housing
ReactorCraft:reactorcraft_block_turbinemulti:2, Steam Injector
ReactorCraft:reactorcraft_block_flywheelmulti:0, Turbine Flywheel Core
ReactorCraft:reactorcraft_block_flywheelmulti:1, Flywheel Vibration Dampeners
ReactorCraft:reactorcraft_block_flywheelmulti:2, Turbine Flywheel Frame
ReactorCraft:reactorcraft_block_lamp:0, Blue Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:1, Pink Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:2, Orange Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:3, Magenta Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:4, Green Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:5, Red Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:6, White Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:7, Yellow Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:8, Blue Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:9, Pink Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:10, Orange Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:11, Magenta Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:12, Green Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:13, Red Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:14, White Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:15, Yellow Tritium Lamp
ReactorCraft:reactorcraft_block_thorium:7, Thorium Fuel
ReactorCraft:reactorcraft_block_chlorine, tile.ChlorineGas.name
ReactorCraft:reactorcraft_block_hf, tile.FluorineGas.name
ThaumicTinkerer:darkQuartzStairs, Smokey Quartz Stairs
ThaumicTinkerer:darkQuartz:0, Block of Smokey Quartz
ThaumicTinkerer:darkQuartz:1, Chiseled Smokey Quartz Block
ThaumicTinkerer:darkQuartz:2, Pillar Smokey Quartz Block
ThaumicTinkerer:fireOrder, Ordo Imbued Fire
ThaumicTinkerer:infusedFarmland, tile.infusedFarmland.name
ThaumicTinkerer:Levitational Locomotive, Levitational Locomotive
ThaumicTinkerer:dislocator, Transvector Dislocator
ThaumicTinkerer:gaseousShadow, tile.gaseousShadow.name
ThaumicTinkerer:gaseousLight, tile.gaseousLight.name
ThaumicTinkerer:forcefield, Forcefield
ThaumicTinkerer:fireChaos, Perditio Imbued Fire
ThaumicTinkerer:infusedGrainBlock, tile.infusedGrainBlock.name
ThaumicTinkerer:darkQuartzSlab:0, Smokey Quartz Slab
ThaumicTinkerer:darkQuartzSlabFull:0, Smokey Quartz Slab
ThaumicTinkerer:interface, Transvector Interface
ThaumicTinkerer:fireFire, Ignis Imbued Fire
ThaumicTinkerer:fireWater, Aqua Imbued Fire
ThaumicTinkerer:animationTablet, Dynamism Tablet
ThaumicTinkerer:nitorGas, tile.nitorGas.name
ThaumicTinkerer:warpGate, Celestial Gateway
ThaumicTinkerer:fireEarth, Terra Imbued Fire
ThaumicTinkerer:enchanter, Osmotic Enchanter
ThaumicTinkerer:magnet:0, Kinetic Attractor
ThaumicTinkerer:magnet:1, Corporeal Attractor
ThaumicTinkerer:funnel, Essentia Funnel
ThaumicTinkerer:Levitational Locomotive Relay, Levitational Locomotive Relay
ThaumicTinkerer:repairer, Thaumic Restorer
ThaumicTinkerer:bedrockPortal, Bedrock Portal
ThaumicTinkerer:spawner, Tablet of Necromancy
ThaumicTinkerer:platform, Ethereal Platform
ThaumicTinkerer:fireAir, Aer Imbued Fire
witchery:belladonna, Belladonna
witchery:mandrake, Mandrake
witchery:artichoke, Water Artichoke
witchery:snowbell, Snowbell
witchery:wormwood, Wormwood
witchery:mindrake, Minedrake
witchery:wolfsbane, Wolfsbane
witchery:garlicplant, Garlic
witchery:witchsapling:0, Rowan Sapling
witchery:witchsapling:1, Alder Sapling
witchery:witchsapling:2, Hawthorn Sapling
witchery:witchlog:0, Rowan Wood
witchery:witchlog:1, Alder Wood
witchery:witchlog:2, Hawthorn Wood
witchery:witchleaves:0, Rowan Leaves
witchery:witchleaves:1, Alder Leaves
witchery:witchleaves:2, Hawthorn Leaves
witchery:voidbramble, Void Bramble
witchery:bramble:0, Ender Bramble
witchery:bramble:1, Wild Bramble
witchery:glintweed, Glint Weed
witchery:spanishmoss, Spanish Moss
witchery:leapinglily, Leaping Lily
witchery:plantmine:0, Poppy of Webs
witchery:plantmine:1, Poppy of Ink
witchery:plantmine:2, Poppy of Thorns
witchery:plantmine:3, Poppy of Sprouting
witchery:plantmine:4, Dandelion of Webs
witchery:plantmine:5, Dandelion of Ink
witchery:plantmine:6, Dandelion of Thorns
witchery:plantmine:7, Dandelion of Sprouting
witchery:plantmine:8, Shrub of Webs
witchery:plantmine:9, Shrub of Ink
witchery:plantmine:10, Shrub of Thorns
witchery:plantmine:11, Shrub of Sprouting
witchery:embermoss, Ember Moss
witchery:crittersnare:0, Critter Snare
witchery:grassper, Grassper
witchery:bloodrose, Blood Poppy
witchery:somniancotton, Wispy Cotton
witchery:web, Web
witchery:vine, Vine
witchery:cactus, Cactus
witchery:lilypad, tile.lilypad.name
witchery:demonheart, Demon Heart
witchery:wolfhead:0, Wolf Head
witchery:wolfhead:1, Hellhound Head
witchery:witchwood:0, Rowan Planks
witchery:witchwood:1, Alder Planks
witchery:witchwood:2, Hawthorn Planks
witchery:stairswoodrowan, Rowan Stairs
witchery:stairswoodalder, Alder Stairs
witchery:stairswoodhawthorn, Hawthorn Stairs
witchery:witchwoodslab:0, Rowan Slab
witchery:witchwoodslab:1, Alder Slab
witchery:witchwoodslab:2, Hawthorn Slab
witchery:witchwooddoubleslab:0, Rowan Slab
witchery:witchwooddoubleslab:1, Alder Slab
witchery:witchwooddoubleslab:2, Hawthorn Slab
witchery:rowanwooddoor, Rowan Wood Door
witchery:alderwooddoor, Alder Wood Door
witchery:chalice, Chalice
witchery:candelabra, Candelabra
witchery:placeditem, tile.witchery:placeditem.name
witchery:alluringskull, Alluring Skull
witchery:wickerbundle:0, Wicker Bundle
witchery:wickerbundle:1, Bloodied Wicker Bundle
witchery:glowglobe, Glow Globe
witchery:statuegoddess, Statue of The Goddess
witchery:stockade:0, Oak Stockade
witchery:stockade:1, Spruce Stockade
witchery:stockade:2, Birch Stockade
witchery:stockade:3, Jungle Stockade
witchery:stockade:4, Rowan Stockade
witchery:stockade:5, Alder Stockade
witchery:stockade:6, Hawthorn Stockade
witchery:stockade:7, Acacia Stockade
witchery:stockade:8, Dark Oak Stockade
witchery:icestockade:0, Ice Stockade
witchery:perpetualice, Perpetual Ice
witchery:icedoor, Ice Door
witchery:icestairs, Ice Stairs
witchery:iceslab:0, Ice Slab
witchery:icedoubleslab:0, Ice Slab
witchery:icefence, Ice Fence
witchery:icefencegate, Ice Gate
witchery:icepressureplate, Ice Pressure Plate
witchery:snowpressureplate, Snow Pressure Plate
witchery:snowstairs, Snow Stairs
witchery:snowslab:0, Snow Slab
witchery:snowdoubleslab:0, Snow Slab
witchery:infinityegg, Infinity Egg
witchery:slurp, tile.witchery:slurp.name
witchery:pitdirt, Dirt
witchery:pitgrass, Grass
witchery:garlicgarland, Garlic Garland
witchery:bloodedwool, Blood-stained Wool
witchery:shadedglass:0, White Shaded Glass
witchery:shadedglass:1, Orange Shaded Glass
witchery:shadedglass:2, Magenta Shaded Glass
witchery:shadedglass:3, Light Blue Shaded Glass
witchery:shadedglass:4, Yellow Shaded Glass
witchery:shadedglass:5, Lime Shaded Glass
witchery:shadedglass:6, Pink Shaded Glass
witchery:shadedglass:7, Gray Shaded Glass
witchery:shadedglass:8, Silver Shaded Glass
witchery:shadedglass:9, Cyan Shaded Glass
witchery:shadedglass:10, Purple Shaded Glass
witchery:shadedglass:11, Blue Shaded Glass
witchery:shadedglass:12, Brown Shaded Glass
witchery:shadedglass:13, Green Shaded Glass
witchery:shadedglass:14, Red Shaded Glass
witchery:shadedglass:15, Black Shaded Glass
witchery:shadedglass_active:0, White Shaded Glass
witchery:shadedglass_active:1, Orange Shaded Glass
witchery:shadedglass_active:2, Magenta Shaded Glass
witchery:shadedglass_active:3, Light Blue Shaded Glass
witchery:shadedglass_active:4, Yellow Shaded Glass
witchery:shadedglass_active:5, Lime Shaded Glass
witchery:shadedglass_active:6, Pink Shaded Glass
witchery:shadedglass_active:7, Gray Shaded Glass
witchery:shadedglass_active:8, Silver Shaded Glass
witchery:shadedglass_active:9, Cyan Shaded Glass
witchery:shadedglass_active:10, Purple Shaded Glass
witchery:shadedglass_active:11, Blue Shaded Glass
witchery:shadedglass_active:12, Brown Shaded Glass
witchery:shadedglass_active:13, Green Shaded Glass
witchery:shadedglass_active:14, Red Shaded Glass
witchery:shadedglass_active:15, Black Shaded Glass
witchery:mirrorwall, Mirror Surface
witchery:refillingchest, Chest
witchery:force, Solid
witchery:tormentstone, Torment Stone
witchery:barrier, Barrier
witchery:leechchest, Leech Chest
witchery:altar, Altar
witchery:kettle, Kettle
witchery:poppetshelf, Poppet Shelf
witchery:dreamcatcher, Dream Weaver
witchery:crystalball, Crystal Ball
witchery:spiritportal, Spirit Portal
witchery:tormentportal, Torment Portal
witchery:spinningwheel, Spinning Wheel
witchery:brazier, Brazier
witchery:witchesovenidle, Witches Oven
witchery:witchesovenburning, Witches Oven
witchery:fumefunnel, Fume Funnel
witchery:filteredfumefunnel, Filtered Fume Funnel
witchery:distilleryidle, Distillery
witchery:distilleryburning, Distillery
witchery:scarecrow, Scarecrow
witchery:trent, Trent Effigy
witchery:witchsladder, Witch's Ladder
witchery:decurseteleport, Statue of Occluded Summons
witchery:decursedirected, Statue of Broken Curses
witchery:statueofworship, Statue of Hobgoblin Patron
witchery:cauldron, Witch's Cauldron
witchery:wolfaltar, Wolf Altar
witchery:silvervat, Silver Vat
witchery:beartrap, Beartrap
witchery:wolftrap, Wolftrap
witchery:wallgen, tile.witchery:wallgen.name
witchery:coffinblock, Coffin
witchery:light, tile.witchery:light.name
witchery:daylightcollector, Sun Collector
witchery:bloodcrucible, Blood Crucible
witchery:mirrorblock, Mirror
witchery:mirrorblock2, Mirror
witchery:circle, Heart Glyph
witchery:circleglyphritual, Ritual Glyph
witchery:circleglyphotherwhere, Otherwhere Glyph
witchery:circleglyphinfernal, Infernal Glyph
witchery:spiritflowing, Flowing Spirit
witchery:hollowtears, Flowing Spirit
witchery:disease, Disease
witchery:brew, tile.witchery:brew.name
witchery:brewgas, tile.witchery:brewgas.name
witchery:brewliquid, tile.witchery:brewliquid.name
witchery:clever, Lever
witchery:cwoodendoor, Wooden Door
witchery:cwoodpressureplate, Pressure Plate
witchery:cstonepressureplate, Pressure Plate
witchery:csnowpressureplate, Snow Pressure Plate
witchery:cbuttonwood, Button
witchery:cbuttonstone, Button
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
MetallurgyCore:metallurgyCore.oreFinder, Ore Finder
Agriculture:base.crop:0, Flour
Agriculture:base.crop:1, Dough
Agriculture:base.crop:2, Loaf of Bread
Agriculture:base.crop:3, Apple Cinnamon Cookie
Agriculture:base.crop:4, Apple Cinnamon Cookie Dough
Agriculture:base.crop:5, Apple Gelatin
Agriculture:base.crop:6, Apple Jelly
Agriculture:base.crop:7, Apple Jelly Toast
Agriculture:base.crop:8, Apple Mush
Agriculture:base.crop:9, Apple Pie
Agriculture:base.crop:10, Bacon
Agriculture:base.crop:11, Bacon Cheeseburger
Agriculture:base.crop:12, Bacon Cheese Fries
Agriculture:base.crop:13, Batter
Agriculture:base.crop:14, Beef Jerky
Agriculture:base.crop:15, Beer
Agriculture:base.crop:16, Bowl of Raw Pasta
Agriculture:base.crop:17, Bread Crumbs
Agriculture:base.crop:18, Breaded Chicken
Agriculture:base.crop:19, Butter
Agriculture:base.crop:20, Butter Cookie
Agriculture:base.crop:21, Butter Cookie Dough
Agriculture:base.crop:22, Buttered Toast
Agriculture:base.crop:23, Candied Apple
Agriculture:base.crop:24, Caramel
Agriculture:base.crop:25, Caramel Apple
Agriculture:base.crop:26, Caramel Apple With Nuts
Agriculture:base.crop:27, Carrot Cake
Agriculture:base.crop:28, Carrot Cake Batter
Agriculture:base.crop:29, Cheese
Agriculture:base.crop:30, Cheeseburger
Agriculture:base.crop:31, Cheese Fries
Agriculture:base.crop:32, Cheese Sandwich
Agriculture:base.crop:33, Cheesy Bacon Potatoes
Agriculture:base.crop:34, Cheesy Potatoes
Agriculture:base.crop:35, Chicken Nuggets
Agriculture:base.crop:36, Chocolate
Agriculture:base.crop:37, Chocolate Chip Cookie
Agriculture:base.crop:38, Chocolate Chip Cookie Dough
Agriculture:base.crop:39, Chocolate Covered Strawberries
Agriculture:base.crop:40, Chocolate Ice Cream
Agriculture:base.crop:41, Chocolate Sauce
Agriculture:base.crop:42, Chocolate Ice Cream Chocolate Sauce
Agriculture:base.crop:43, Chocolate Ice Cream Mix
Agriculture:base.crop:44, Cinnamon
Agriculture:base.crop:45, Cinnamon And Sugar
Agriculture:base.crop:46, Cinnamon Toast
Agriculture:base.crop:47, Cooking Oil
Agriculture:base.crop:48, Crushed Peanuts
Agriculture:base.crop:49, Deluxe Hot Cocoa
Agriculture:base.crop:50, Diced Potatoes
Agriculture:base.crop:51, Double Bacon Cheeseburger
Agriculture:base.crop:52, French Fries
Agriculture:base.crop:53, French Toast
Agriculture:base.crop:54, Fried Chicken
Agriculture:base.crop:55, Gelatin
Agriculture:base.crop:56, Grilled Cheese
Agriculture:base.crop:57, Ground Beef
Agriculture:base.crop:58, Ground Chicken
Agriculture:base.crop:59, Ground Cinnamon
Agriculture:base.crop:60, Ground Pork
Agriculture:base.crop:61, Hamburger
Agriculture:base.crop:62, Hamburger Patty
Agriculture:base.crop:63, Hot Cocoa
Agriculture:base.crop:64, Ice Cream Mix
Agriculture:base.crop:65, Macaroni And Cheese
Agriculture:base.crop:66, Marshmallows
Agriculture:base.crop:67, Mashed Potatoes
Agriculture:base.crop:68, Milk
Agriculture:base.crop:69, Pasta
Agriculture:base.crop:70, Pasta Dough
Agriculture:base.crop:71, PB&J Sandwich Apple
Agriculture:base.crop:72, PB&J Sandwich Strawberry
Agriculture:base.crop:73, PB Sandwich
Agriculture:base.crop:74, Peanut Butter
Agriculture:base.crop:75, Peanut Butter Cookie
Agriculture:base.crop:76, Peanut Butter Cookie Dough
Agriculture:base.crop:77, Peanuts
Agriculture:base.crop:78, Pumpkin Cookie
Agriculture:base.crop:79, Pumpkin Cookie Dough
Agriculture:base.crop:80, Raw Apple Pie
Agriculture:base.crop:81, Raw Chicken Nuggets
Agriculture:base.crop:82, Raw French Toast
Agriculture:base.crop:83, Raw Hamburger Patty
Agriculture:base.crop:84, Raw Strawberry Pie
Agriculture:base.crop:85, Roasted Marshmallows
Agriculture:base.crop:86, Roasted Peanuts
Agriculture:base.crop:87, Salt
Agriculture:base.crop:88, Salted Beef
Agriculture:base.crop:89, Salted Pork
Agriculture:base.crop:90, Shortcake
Agriculture:base.crop:91, Slice of Bread
Agriculture:base.crop:92, Slice of Cheese
Agriculture:base.crop:93, Snicker Doodle
Agriculture:base.crop:94, Snicker Doodle Dough
Agriculture:base.crop:95, Strawberry
Agriculture:base.crop:96, Strawberry Gelatin
Agriculture:base.crop:97, Strawberry Ice Cream
Agriculture:base.crop:98, Strawberry Ice Cream Chocolate Sauce
Agriculture:base.crop:99, Strawberry Ice Cream Mix
Agriculture:base.crop:100, Strawberry Jelly
Agriculture:base.crop:101, Strawberry Jelly Cookie
Agriculture:base.crop:102, Strawberry Jelly Cookie Dough
Agriculture:base.crop:103, Strawberry Jelly Toast
Agriculture:base.crop:104, Strawberry Mush
Agriculture:base.crop:105, Strawberry Pie
Agriculture:base.crop:106, Strawberry ShortCake
Agriculture:base.crop:107, Sugar Cookie
Agriculture:base.crop:108, Sugar Cookie Dough
Agriculture:base.crop:109, Toast
Agriculture:base.crop:110, Toasted PB&J Sandwich Apple
Agriculture:base.crop:111, Toasted PB&J Sandwich Strawberry
Agriculture:base.crop:112, Toasted PB Sandwich
Agriculture:base.crop:113, Vanilla
Agriculture:base.crop:114, Vanilla Ice Cream
Agriculture:base.crop:115, Vanilla Ice Cream Chocolate Sauce
Agriculture:base.crop:116, Vanilla Ice Cream Mix
Agriculture:base.crop:117, Vinegar
Agriculture:base.crop:118, Whipped Cream
appliedenergistics2:item.ToolCertusQuartzAxe, Certus Quartz Axe
appliedenergistics2:item.ToolCertusQuartzHoe, Certus Quartz Hoe
appliedenergistics2:item.ToolCertusQuartzSpade, Certus Quartz Shovel
appliedenergistics2:item.ToolCertusQuartzPickaxe, Certus Quartz Pickaxe
appliedenergistics2:item.ToolCertusQuartzSword, Certus Quartz Sword
appliedenergistics2:item.ToolCertusQuartzWrench, Certus Quartz Wrench
appliedenergistics2:item.ToolCertusQuartzCuttingKnife, Certus Quartz Cutting Knife
appliedenergistics2:item.ToolNetherQuartzAxe, Nether Quartz Axe
appliedenergistics2:item.ToolNetherQuartzHoe, Nether Quartz Hoe
appliedenergistics2:item.ToolNetherQuartzSpade, Nether Quartz Shovel
appliedenergistics2:item.ToolNetherQuartzPickaxe, Nether Quartz Pickaxe
appliedenergistics2:item.ToolNetherQuartzSword, Nether Quartz Sword
appliedenergistics2:item.ToolNetherQuartzWrench, Nether Quartz Wrench
appliedenergistics2:item.ToolNetherQuartzCuttingKnife, Nether Quartz Cutting Knife
appliedenergistics2:item.ToolEntropyManipulator, Entropy Manipulator
appliedenergistics2:item.ToolWirelessTerminal, Wireless Terminal
appliedenergistics2:item.ToolBiometricCard, Biometric Card
appliedenergistics2:item.ToolChargedStaff, Charged Staff
appliedenergistics2:item.ToolMassCannon, Matter Cannon
appliedenergistics2:item.ToolMemoryCard, Memory Card
appliedenergistics2:item.ToolNetworkTool, Network Tool
appliedenergistics2:item.ToolPortableCell, Portable Cell
appliedenergistics2:item.ItemCreativeStorageCell, Creative ME Storage Cell
appliedenergistics2:item.ItemViewCell, View Cell
appliedenergistics2:item.ItemBasicStorageCell.1k, 1k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.4k, 4k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.16k, 16k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.64k, 64k ME Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.2Cubed, 2³ Spatial Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.16Cubed, 16³ Spatial Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.128Cubed, 128³ Spatial Storage Cell
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dirt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Podzol
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cobblestone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oak Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Spruce Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Birch Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Jungle Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Acacia Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dark Oak Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bedrock
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gravel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gold Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Iron Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Coal Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oak Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Spruce Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Birch Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Jungle Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sponge
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lapis Lazuli Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lapis Lazuli Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Smooth Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Orange Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Magenta Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Blue Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Yellow Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lime Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pink Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gray Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Gray Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cyan Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Purple Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Blue Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Brown Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Green Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Black Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Gold
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Iron
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - TNT
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bookshelf
appliedenergistics2:item.ItemFacade:0, Cable Facade - Moss Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Obsidian
appliedenergistics2:item.ItemFacade:0, Cable Facade - Diamond Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Diamond
appliedenergistics2:item.ItemFacade:0, Cable Facade - Crafting Table
appliedenergistics2:item.ItemFacade:0, Cable Facade - Redstone Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Netherrack
appliedenergistics2:item.ItemFacade:0, Cable Facade - Soul Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glowstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - White Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Orange Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Magenta Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Blue Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Yellow Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lime Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pink Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gray Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Gray Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cyan Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Purple Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Blue Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Brown Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Green Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Black Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cobblestone Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mossy Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cracked Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mossy Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cracked Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mushroom
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mushroom
appliedenergistics2:item.ItemFacade:0, Cable Facade - Melon
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - End Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Redstone Lamp
appliedenergistics2:item.ItemFacade:0, Cable Facade
appliedenergistics2:item.ItemFacade:0, Cable Facade - Emerald Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Emerald
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Redstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Quartz Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Quartz
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Quartz Block
